player_id,sleeper_id,player_name,team,season,games,ppg,college,rookie_year,birth_date,carries_pg,targets_pg,receptions_pg,touches_pg,rushing_yards_pg,receiving_yards_pg,receiving_air_yards_pg,receiving_yards_after_catch_pg,total_yards_pg,rushing_tds_pg,receiving_tds_pg,total_tds_pg,rushing_epa_pg,receiving_epa_pg,total_epa_pg,rushing_first_downs_pg,receiving_first_downs_pg,gl_carries_pg,gl_targets_pg,gl_touches_pg,ypc,ypr,catch_rate,scrimmage_yds_per_touch,aDOT,tgt_sh,ay_sh,yac_sh,ry_sh,rtd_sh,dom,w8dom,carries_share,avg_snap_pct,off_snaps_pg,depth_team_wk1,is_rb1_wk1,rushing_fumbles_pg,receiving_fumbles_pg,rushing_fumbles_lost_pg,receiving_fumbles_lost_pg,games_out_seas,games_limited_seas,games_out_seas_prev,games_prev,ngs_efficiency,ngs_pct_gte_8_defenders,ngs_avg_time_to_los,ngs_ryoe_per_att,ngs_rush_pct_over_expected,ppg_yoy,carries_pg_yoy,targets_pg_yoy,total_yards_pg_yoy,total_epa_pg_yoy,avg_snap_pct_yoy,age,height,weight,draft_number,years_exp
00-0022999,53,John Kuhn,NO,2016,13,4.361538461538462,Shippensburg,2005.0,1982-09-09,1.3846153846153846,1.5384615384615385,1.2307692307692308,2.6153846153846154,2.8461538461538463,5.384615384615385,1.1538461538461537,3.8461538461538463,8.23076923076923,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.3348447150044824,0.0315884215278157,0.3664331365322981,0.9230769230769231,0.38461538461538464,0.0,0.0,0.0,2.0555555555555554,4.375,0.8,3.1470588235294117,0.75,0.03663003663003663,0.003996802557953637,0.02557544757033248,0.016908212560386472,0.034482758620689655,0.025695485590538063,0.02042312177244711,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,33.0,72.0,250.0,,11.0
00-0023500,232,Frank Gore,IND,2015,16,12.0875,Miami,2005.0,1983-05-14,16.25,3.625,2.125,18.375,60.4375,16.6875,-0.8125,17.0625,77.125,0.375,0.0625,0.4375,-3.109572635788936,-0.03199798338564544,-3.1415706191745816,2.75,0.625,0.0,0.0,0.0,3.7192307692307693,7.852941176470588,0.5862068965517241,4.197278911564626,-0.22413793103448276,0.09369951534733441,-0.0024597918637653737,0.1657559198542805,0.06797352342158859,0.038461538461538464,0.05321753094156353,0.06207112642957857,,0.625625,42.9375,1.0,1.0,0.25,0.0,0.1875,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,69.0,217.0,65.0,10.0
00-0023500,232,Frank Gore,IND,2016,16,13.387500000000001,Miami,2005.0,1983-05-14,16.4375,2.9375,2.375,18.8125,64.0625,17.3125,0.0625,17.875,81.375,0.25,0.25,0.5,-1.5255841295242065,0.6340821454796242,-0.8915019840445824,3.125,0.875,0.0,0.0,0.0,3.897338403041825,7.2894736842105265,0.8085106382978723,4.325581395348837,0.02127659574468085,0.08061749571183534,0.00020627062706270627,0.15888888888888889,0.0616789133823202,0.125,0.0933394566911601,0.07434313070585616,,0.59375,40.625,1.0,1.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.0,16.0,3.7029941291585113,20.912547528517113,2.3430564516129038,,,1.3000000000000007,0.1875,-0.6875,4.25,2.250068635129999,-0.03187499999999999,33.0,69.0,217.0,65.0,11.0
00-0023500,232,Frank Gore,IND,2017,16,10.85,Miami,2005.0,1983-05-14,16.3125,2.375,1.8125,18.125,60.0625,15.3125,-1.625,17.1875,75.375,0.1875,0.0625,0.25,-1.5001059894782445,0.30322397604085194,-1.1968820134373925,3.0625,0.5625,0.0,0.0,0.0,3.681992337164751,8.448275862068966,0.7631578947368421,4.158620689655172,-0.6842105263157895,0.07802874743326489,-0.0070690592713431215,0.16707168894289187,0.07594544327340359,0.07692307692307693,0.07643426009824025,0.07614097000333826,,0.538125,34.6875,1.0,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.7317065556711766,26.053639846743295,2.5531659574468093,,,-2.5375000000000014,-0.125,-0.5625,-6.0,-0.30538002939281017,-0.055625000000000036,34.0,69.0,212.0,65.0,12.0
00-0023500,232,Frank Gore,MIA,2018,14,7.328571428571429,Miami,2005.0,1983-05-14,11.142857142857142,1.1428571428571428,0.8571428571428571,12.0,51.57142857142857,8.857142857142858,1.5,8.214285714285714,60.42857142857143,0.0,0.07142857142857142,0.07142857142857142,-0.27898283873614094,0.4903696838155156,0.2113868450793747,1.7857142857142858,0.5714285714285714,0.0,0.0,0.0,4.628205128205129,10.333333333333334,0.75,5.035714285714286,1.3125,0.0399002493765586,0.00626865671641791,0.07273877292852625,0.04115499502157318,0.041666666666666664,0.04141083084411992,0.04125732935059188,,0.40714285714285714,23.571428571428573,2.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.1297645429362877,12.179487179487179,2.4656164383561663,0.3447779302095448,0.38961038961038963,-3.5214285714285705,-5.169642857142858,-1.2321428571428572,-14.94642857142857,1.4082688585167673,-0.13098214285714282,35.0,69.0,212.0,,13.0
00-0023500,232,Frank Gore,BUF,2019,15,6.326666666666667,Miami,2005.0,1983-05-14,11.066666666666666,1.0666666666666667,0.8666666666666667,11.933333333333334,39.93333333333333,6.666666666666667,0.9333333333333333,5.866666666666666,46.6,0.13333333333333333,0.0,0.13333333333333333,-2.188548710917045,0.07406202764250339,-2.1144866832745417,2.0,0.3333333333333333,0.0,0.0,0.0,3.608433734939759,7.6923076923076925,0.8125,3.905027932960894,0.875,0.03285420944558522,0.0032043945983062485,0.061495457721872815,0.030599755201958383,0.0,0.015299877600979192,0.02447980416156671,,0.3425,23.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.7677295492487484,37.34939759036144,2.580168918918919,-0.4020678878608198,0.32298136645962733,-1.001904761904762,-0.07619047619047592,-0.07619047619047614,-13.82857142857143,-2.3258735283539163,-0.06464285714285711,36.0,69.0,212.0,65.0,14.0
00-0023500,232,Frank Gore,NYJ,2020,15,6.680000000000001,Miami,2005.0,1983-05-14,12.466666666666667,1.2666666666666666,1.0666666666666667,13.533333333333333,43.53333333333333,5.933333333333334,2.2666666666666666,4.866666666666666,49.46666666666667,0.13333333333333333,0.0,0.13333333333333333,-2.753734548091251,0.028947248922256256,-2.724787299168995,2.1333333333333333,0.2,0.0,0.0,0.0,3.4919786096256686,5.5625,0.8421052631578947,3.6551724137931036,1.7894736842105263,0.04086021505376344,0.008489388264669164,0.05383480825958702,0.03123903123903124,0.0,0.01561951561951562,0.024991224991224994,,0.4093333333333333,25.333333333333332,2.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,2.0,0.0,15.0,4.132343032159266,12.834224598930483,2.6082117647058833,-0.49889667354659095,0.3804347826086957,0.3533333333333335,1.4000000000000004,0.19999999999999996,2.866666666666667,-0.6103006158944533,0.0668333333333333,37.0,69.0,212.0,65.0,15.0
00-0023564,246,Darren Sproles,PHI,2015,16,10.09375,Kansas State,2005.0,1983-06-20,5.1875,5.1875,3.4375,8.625,19.8125,24.25,7.4375,22.4375,44.0625,0.1875,0.0625,0.25,0.23376536765681522,-0.4063836517565666,-0.17261828409975138,1.3125,1.1875,0.0,0.0,0.0,3.819277108433735,7.054545454545455,0.6626506024096386,5.108695652173913,1.4337349397590362,0.1332263242375602,0.028032979976442874,0.15920177383592019,0.0893803271135683,0.043478260869565216,0.06642929399156676,0.0801999138647677,,0.34625,24.5625,3.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,66.0,190.0,130.0,10.0
00-0023564,246,Darren Sproles,PHI,2016,15,10.833333333333334,Kansas State,2005.0,1983-06-20,6.266666666666667,4.733333333333333,3.466666666666667,9.733333333333333,29.2,28.466666666666665,2.3333333333333335,27.133333333333333,57.666666666666664,0.13333333333333333,0.13333333333333333,0.26666666666666666,-0.1785100055376925,0.12587678974081729,-0.0526332157968752,1.4666666666666666,1.2666666666666666,0.0,0.0,0.0,4.659574468085107,8.211538461538462,0.7323943661971831,5.924657534246576,0.49295774647887325,0.12522045855379188,0.008042279411764705,0.24681625227410553,0.11769570011025358,0.125,0.1213478500551268,0.11915656008820288,,0.48733333333333334,33.93333333333333,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,3.9798858447488596,10.638297872340425,2.8127926829268297,,,0.7395833333333339,1.0791666666666666,-0.4541666666666666,13.604166666666664,0.11998506830287618,0.14108333333333334,33.0,66.0,190.0,130.0,11.0
00-0023564,246,Darren Sproles,PHI,2018,6,10.166666666666666,Kansas State,2005.0,1983-06-20,4.833333333333333,3.8333333333333335,2.5,7.333333333333333,20.0,26.666666666666668,4.666666666666667,21.166666666666668,46.666666666666664,0.16666666666666666,0.3333333333333333,0.5,0.04782474883787147,1.9291357463177217,1.976960495155593,1.0,1.0,0.0,0.0,0.0,4.137931034482759,10.666666666666666,0.6521739130434783,6.363636363636363,1.2173913043478262,0.10407239819004525,0.018241042345276872,0.1506524317912218,0.09696969696969697,0.16666666666666666,0.1318181818181818,0.1109090909090909,,0.35833333333333334,24.833333333333332,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,15.0,,,,,,-0.6666666666666679,-1.4333333333333336,-0.8999999999999999,-11.0,2.029593710952468,-0.129,35.0,66.0,190.0,130.0,13.0
